topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
23,Whipping and Plantation Punishment,20,"steven, cut, flog, doctor, john, used, mr black, john glasgow, glasgow, tree",1834.0,1909.0,"Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (9 chunks); Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (3 chunks); The Life and Sufferings of Leonard Black, a Fugitive from Slavery. ... (3 chunks)"
24,Whipping and Plantation Punishment,19,"torrey, prisoner, runaway, party, underground, wild tom, fugitive, tom, reward, company",1852.0,1893.0,"The White Slave; or, Memoirs of a Fugitive (7 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (6 chunks); Hair-breadth Escapes from Slavery to Freedom (2 chunks)"
25,Faith and Death in Slavery,19,"righteous, christ, lord, gate, strait, jesus, glory, strait gate, die, death righteous",1810.0,1885.0,"The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (9 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (4 chunks); The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (4 chunks)"
26,Military Life and Marching,18,"rebel, march, camp, bowl green, bowl, green, enemy, soldier, guard, surrender",1885.0,1897.0,"Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (15 chunks); A Narrative of the Life and Adventures of Venture, a Native of Afri... (1 chunks); Africa for Christ. Twenty-Eight Years a Slave (1 chunks)"
27,The Treatment and Education of Enslaved Children,17,"cassy, ritty, moore, colonel moore, colonel, miss ritty, miss, mistress, girl, beauty",1852.0,1854.0,"The White Slave; or, Memoirs of a Fugitive (15 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks)"
30,Elder Bowles' Evangelical Campaigns,16,"elder, elder bowle, bowle, quarterly, th, quarterly meet, brethren, preach, soul, meeting",1852.0,1852.0,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (16 chunks)"
31,Buying and Selling Slaves,16,"gordon, mr gordon, archy, colonel, horse, heddy, jail, dollar, buy, stable",1852.0,1897.0,"Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (5 chunks); The White Slave; or, Memoirs of a Fugitive (5 chunks); A Narrative of the Life and Adventures of Venture, a Native of Afri... (4 chunks)"
29,Black Resistance to French Rule,16,"rochambeau, punishment, vengeance, toussaint, french, louverture, dessaline, sea, crime, cape",1811.0,1854.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (14 chunks); Memoir of Pierre Toussaint, Born a Slave in St. Domingo (1 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (1 chunks)"
28,Christian Faith and Slavery,16,"christ, lord, davis, christian, labor, william, pittsburgh, die, church, glory",1810.0,1854.0,"The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (9 chunks); Anecdotes and Memoirs of William Boen, a Coloured Man, Who Lived an... (3 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (2 chunks)"
32,Traveling and Navigation,15,"boat, liverpool, ship, liberia, captain, ocean, preach, lord, victoria, turner",1811.0,1928.0,"Africa for Christ. Twenty-Eight Years a Slave (4 chunks); From Slavery to the Bishopric in the A.M.E. Church. An Autobiography (4 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (3 chunks)"
33,Toussaint Louverture's Leadership in Haiti,14,"island, toussaint, french, domingo, colony, louverture, negro, chief, hayti, toussaint louverture",1853.0,1854.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (8 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (6 chunks)"
34,Toussaint L'Ouverture's Relationship with French Authorities,14,"toussaint, leclerc, captaingeneral, louverture, toussaint louverture, domingo, french, saint domingo, france, saint",1811.0,1853.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (13 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (1 chunks)"
35,Whipping and Plantation Punishment,13,"overseer, whip, martin, remember, mr martin, thoma, driver, plantation, jack, run",1851.0,1903.0,"The White Slave; or, Memoirs of a Fugitive (8 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks); Biography of a Slave; Being the Experiences of Rev. Charles Thompso... (1 chunks)"
36,Conversion and Spiritual Crisis,13,"lord, davis, soul, sin, youth, sinner, savior, convers, observe, voice",1810.0,1850.0,"The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (11 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (1 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (1 chunks)"
37,Life in the Field under an Overseer,13,"plantation, major thornton, major, thornton, servant, proctor, overseer, mason, neighbor, mr mason",1852.0,1852.0,"The White Slave; or, Memoirs of a Fugitive (13 chunks)"
38,Life on Plantations During the Civil War,13,"mistress, plantation, yankee, big, farm, lowly, little cabin, lowly little, plow, henry",1852.0,1928.0,Memories of Childhood's Slavery Days (4 chunks); From Slavery to the Bishopric in the A.M.E. Church. An Autobiography (3 chunks); Life of Isaac Mason as a Slave (2 chunks)
39,Life on a Plantation Under a Mistress,13,"montgomery, aunt, cassy, curtis, servant, mistress, mrs, mrs thoma, mrs montgomery, aunt emma",1852.0,1893.0,"The White Slave; or, Memoirs of a Fugitive (11 chunks); Aunt Judy's Story: A Tale From Real Life. Written for the Pennsylva... (1 chunks); Life of Isaac Mason as a Slave (1 chunks)"
40,Hope and Resilience in the Face of Oppression,13,"park, ld, terrible, prisoner, government, dear, mob, street, vanity, duty",1782.0,1854.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (5 chunks); Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (4 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks)"
41,Racial Identity and Progress,13,"race, color, negro, moral, color man, color people, north, american, america, african",1852.0,1909.0,"Memories of Childhood's Slavery Days (4 chunks); The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (4 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (3 chunks)"
43,Military Service and Education,12,"camp, army, march, ticket, county, sergeant, war, camp nelson, barrack, bullitt",1782.0,1928.0,"Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (9 chunks); From Slavery to the Bishopric in the A.M.E. Church. An Autobiography (1 chunks); Letters of the Late Ignatius Sancho, An African. In Two Volumes. To... (1 chunks)"
44,Life at Sea and Freedom,12,"voyage, john, sail, captain, vessel, ship, equiano, cargo, gaol, thou",1811.0,1897.0,"God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (4 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (2 chunks); Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (2 chunks)"
42,Whipping and Plantation Punishment,12,"mr stubb, stubb, henson, plunder, plantation, overseer, poor man, servant, sort, sick",1851.0,1855.0,"The White Slave; or, Memoirs of a Fugitive (8 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (1 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (1 chunks)"
45,Toussaint L'Ouverture's Leadership and Conflict with English,11,"douville, toussaint, france, louverture, saint domingo, english, agent, rigaud, domingo, roume",1853.0,1853.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (11 chunks)"
46,Authorship and Purpose,11,"narrative, book, born, bradford, ponder, mr ponder, history, husband, education, mrs bradford",1847.0,1909.0,"God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks); A Narrative of the Life and Adventures of Venture, a Native of Afri... (1 chunks); Life of Isaac Mason as a Slave (1 chunks)"
47,Cotton Harvesting and Processing,11,"plant, pick, garden, cotton, seed, task, acre, hoe, weed, crop",1855.0,1903.0,"Slave Life in Georgia: A Narrative of the Life, Sufferings, and Esc... (9 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks)"
48,The End of Slavery in the Americas,11,"france, toussaint, liberty, island, tousaint, domingo, dessaline, saint domingo, government, proclaim",1852.0,1916.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (6 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (2 chunks); The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (2 chunks)"
49,Forced Sale and Transportation,11,"horse, plantation, sell, bullock, mr bullock, dansley, mistress, enquir, hir, negro",1855.0,1897.0,"Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (6 chunks); Biography of a Slave; Being the Experiences of Rev. Charles Thompso... (2 chunks); A Narrative of the Life and Adventures of Venture, a Native of Afri... (1 chunks)"
50,Plantation Life in Virginia,11,"gordon, mr gordon, slavehold, virginia, plantation, planter, overseer, class, crowd, class poor",1851.0,1861.0,"The White Slave; or, Memoirs of a Fugitive (7 chunks); Narrative of the Life of Henry Box Brown, Written by Himself (2 chunks); Hair-breadth Escapes from Slavery to Freedom (1 chunks)"
51,Itinerant Preaching and Church Leadership,11,"th, labor, preach, brethren, elder, church, bowle, sabbath, soul, huntington",1850.0,1854.0,"The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (7 chunks); The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (3 chunks); Memoir of Pierre Toussaint, Born a Slave in St. Domingo (1 chunks)"
52,Pursuing Freedom,11,"venture, cottrell, fortunate, smith, valentine, wife child, toussaint, curtis, sherriff, freedom",1810.0,1897.0,"Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (2 chunks); Narrative of the Life of Henry Box Brown, Written by Himself (2 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (1 chunks)"
53,Church Support and Division,10,"conference, bishop, church, general conference, episcopal, methodist episcopal, antiprohibition, methodist, episcopal church, dollar",1885.0,1916.0,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (6 chunks); Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (2 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (2 chunks)"
54,Becoming a Licensed Preacher,10,"preach, license, church, license preach, new castle, castle, prayer, taylor, elder, preacher",1810.0,1928.0,"Life and History of the Rev. Elijah P. Marrs, First Pastor of Bearg... (3 chunks); A Brief Account of the Life, Experience, Travels, and Gospel Labour... (2 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (2 chunks)"
55,Plantation Justice and Punishment,10,"judge, court, committee, merchant, fellow, thoma, overseer, letter, gambler, robinson",1852.0,1903.0,"The White Slave; or, Memoirs of a Fugitive (9 chunks); The History of My Life and Work. Autobiography by Rev. M. L. Latta,... (1 chunks)"
56,The Transatlantic Slave Trade,10,"northern, flop, used, deck, market, brown, vessel, cargo, southern, ship",1852.0,1892.0,"The White Slave; or, Memoirs of a Fugitive (4 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (3 chunks); Africa for Christ. Twenty-Eight Years a Slave (1 chunks)"
57,Education and Personal Growth,10,"school, instruction, college, piece, master william, progress, pipe, oh, teacher, tom",1852.0,1903.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (4 chunks); Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Inter... (2 chunks); God's Image in Ebony: Being a Series of Biographical Sketches, Fact... (1 chunks)"
