topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
10,Ministerial Training and Early Ministry,30,"writer, yea, amen, conference, lov, case, preach, minister, hawkin, dear",1826.0,1916.0,"Wilkerson's History of His Travels &amp; Labors, in the United Stat... (14 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (5 chunks); Slavery Illustrated, in the Histories of Zangara and Maquama, Two N... (4 chunks)"
11,Whipping and Plantation Punishment,29,"darkey, dogs, plantation, overseer, possum, banjo, fence, escap, mallory, indian",1841.0,1929.0,"Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (8 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (4 chunks)"
12,Traveling to Work or Deliveries,27,"cyrus, road, journey, jerry, horse, travel, oclock, rain, boat, barn",1846.0,1917.0,"Life of Isaac Mason as a Slave (7 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (5 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks)"
14,Faith in Salvation and Heaven,26,"heaven, harry, lord, christ, yea, mr oneal, oneal, saviour, amen, truly",1826.0,1916.0,"Wilkerson's History of His Travels &amp; Labors, in the United Stat... (9 chunks); Narratives of Colored Americans (6 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (4 chunks)"
13,Effective Classroom Management,26,"teacher, pupil, class, verb, lesson, begin, correctly, division, teach, written",1826.0,1913.0,"Reminiscences of School Life, and Hints on Teaching (25 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (1 chunks)"
15,Theft of Money from Stores,25,"madison, brown, ennis, warrick, store, seward, street, baker, rob, vault",1841.0,1841.0,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (25 chunks)"
16,"Faith, Redemption, and the Afterlife",25,"jesus, sarah, pray, lord, love, sweep, sorrow, die, heaven, husband",1826.0,1916.0,Biographical Sketches and Interesting Anecdotes of Persons of Colou... (9 chunks); Narratives of Colored Americans (5 chunks); Memories of Childhood's Slavery Days (4 chunks)
17,Reuniting with Family Members,24,"vina, peter, aunt, gist, toussaint, aunt sally, mistress, rard, husband, sally",1826.0,1856.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (16 chunks); Memoir of Pierre Toussaint, Born a Slave in St. Domingo (4 chunks); From the Darkness Cometh the Light or Struggles for Freedom (2 chunks)"
18,The Haitian Revolution and its Impact on Slavery,22,"army, war, st domingo, domingo, planter, british, island, soldier, toussaint, battle",1855.0,1902.0,"The Colored Patriots of the American Revolution: With Sketches of S... (12 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (8 chunks); Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (1 chunks)"
19,Church Support and Division,22,"church, conference, bishop, rev, connection, circuit, elder, methodist, allen, brethren",1875.0,1916.0,"Biography of Rev. David Smith of the A. M. E. Church; Being a Compl... (14 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (6 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (1 chunks)"
20,Education and Self-Improvement,22,"school, teach, taught, education, class, industrial, scholar, study, exhibition, teacher",1826.0,1929.0,"Reminiscences of School Life, and Hints on Teaching (11 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (2 chunks); My Life and Travels (2 chunks)"
21,The Formation and Organization of the Colored Methodist Episcopal Church,22,"church, bishop, methodist, conference, episcopal, methodist episcopal, episcopal church, general conference, elect, organization",1881.0,1916.0,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (19 chunks); Biography of Rev. David Smith of the A. M. E. Church; Being a Compl... (3 chunks)"
22,Education and Self-Improvement,20,"church, native, society, cape, dr, cape town, government, study, unit, religious",1826.0,1917.0,"Reminiscences of School Life, and Hints on Teaching (4 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (4 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (3 chunks)"
23,Surviving in the Wild and Hunting for Food,20,"hunter, coon, tree, hunt, corn, turkey, settler, dogs, indian, logs",1895.0,1917.0,"Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (16 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (2 chunks); Recollections of Slavery Times (2 chunks)"
24,Observations on European Culture,19,"palace, paris, louis, queen, build, wall, monument, splendid, french, napoleon",1855.0,1855.0,The American Fugitive in Europe. Sketches of Places and People Abroad (19 chunks)
25,Methodist Episcopal Church's Role in Education,18,"church, professor, conference, rev, college, bishop, organiz, property, methodist, thousand dollar",1881.0,1916.0,"Biography of Rev. David Smith of the A. M. E. Church; Being a Compl... (11 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (7 chunks)"
26,Finding Freedom and Community,18,"peter, dollar, syracuse, shaker, letter, friedman, society, lady, seth, mr friedman",1826.0,1891.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (9 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (3 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (2 chunks)"
27,Spiritual Resistance and Resilience,18,"thou, shalt, thee, lord, thou shalt, pray, row, jesus, love, craw",1810.0,1929.0,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (6 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (3 chunks); Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (3 chunks)"
28,Leadership and Governance in Haiti,18,"christophe, petion, government, rigaud, island, hayti, toussaint, dessaline, mulatto, army",1855.0,1863.0,"The Black Man: His Antecedents, His Genius, and His Achievements (14 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (3 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (1 chunks)"
30,Traveling for Work or Leisure,17,"pat, car, bond, train, lawrence, conductor, cent, dollar, pay, boat",1846.0,1917.0,From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (7 chunks); Life of Isaac Mason as a Slave (5 chunks); Memories of Childhood's Slavery Days (2 chunks)
29,The Influence of Genius and Inspiration,17,"poet, pope, genius, poem, hood, sheet, byron, wine, grave, landlady",1845.0,1863.0,"The American Fugitive in Europe. Sketches of Places and People Abroad (15 chunks); Life of George M. Horton. The Colored Bard of North Carolina from ""... (1 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (1 chunks)"
32,Whipping and Plantation Punishment,16,"whip, says, massr, bout, overseer, ill, aaron, id, beat, shirt",1810.0,1893.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (8 chunks); The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (3 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (2 chunks)"
33,Escape from Slavery,16,"run away, walter, fellow, boat, george, peter, canada, reply, old man, yes",1846.0,1902.0,"From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (4 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (4 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (3 chunks)"
31,Life on Plantations During the Civil War,16,"soldier, plantation, pig, cake, mistress, yankee, eat, roll, allowance, pork",1846.0,1917.0,"Recollections of Slavery Times (7 chunks); Memories of Childhood's Slavery Days (3 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (2 chunks)"
34,Plantation Labor Management,15,"gin, engine, plant, charley, seed, scott, cotton, gin plant, bond, bale",1917.0,1917.0,From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (15 chunks)
35,Geography and Travel,15,"africa, tree, tribe, coffee, road, king, wagon, fruit, kingdom, toussaint",1810.0,1917.0,"Biographical Sketches and Interesting Anecdotes of Persons of Colou... (3 chunks); Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (3 chunks); From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (2 chunks)"
36,Leaving Home and Family Separation,14,"vina, baby, cabin, week, overseer, field, wouldnt, lawrence, wash, sister",1856.0,1909.0,The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (10 chunks); Memories of Childhood's Slavery Days (3 chunks); Life of Isaac Mason as a Slave (1 chunks)
37,Experiences in the American Civil War,14,"indian, battle, florida, war, washington, syracuse, middle florida, hammock, woodbury, unit",1810.0,1929.0,"The Colored Patriots of the American Revolution: With Sketches of S... (7 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (2 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (1 chunks)"
38,International Peace Conferences and Diplomacy,14,"speaker, speech, disraeli, cobden, peace, lord john, seat, speeche, congress, sits",1855.0,1913.0,"The American Fugitive in Europe. Sketches of Places and People Abroad (10 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (2 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (1 chunks)"
39,The Moral and Human Cost of Slavery,14,"law, lash, law says, moral, human, suffer, condition, degradation, million, seven million",1826.0,1909.0,"From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (5 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks); Slavery Illustrated, in the Histories of Zangara and Maquama, Two N... (2 chunks)"
40,Fear of Master's Death and Burial,14,"clay, kentucky, whip, overseer, mr clay, jim, aaron, levin, jess, servant",1826.0,1891.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (4 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (3 chunks)"
41,Relationships with Mistress/Owner,13,"yo, ter, joe, mistress, sally, wot, paul, yes, doan, mastah",1846.0,1894.0,"The Story of a Slave. A Realistic Revelation of a Social Relation o... (12 chunks); Narrative of William Hayden, Containing a Faithful Account of His T... (1 chunks)"
42,Debt-Related Threats and Sales,13,"johnston, buel, postlewaite, carriage, benedict, sheriff, concklin, dont, jerry, rook",1841.0,1889.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (4 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (3 chunks); Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (3 chunks)"
46,Religious Life and Slavery,12,"conference, massah, church, book, methodist, holy, lord, annual, yea, annual conference",1810.0,1916.0,"Narrative of William Hayden, Containing a Faithful Account of His T... (2 chunks); The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (2 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (1 chunks)"
48,Separation from Family and Punishment,12,"susan, madison, cabin, plantation, boat, deck, creole, vessel, steal meat, nathan",1846.0,1895.0,"Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (4 chunks); Recollections of Slavery Times (2 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (2 chunks)"
47,Refutation of Pro-Slavery Arguments,12,"dinah, briton, natural, mum bett, mum, condition, social, bett, refutation, bondman",1810.0,1894.0,"The American Fugitive in Europe. Sketches of Places and People Abroad (2 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (2 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (2 chunks)"
45,Education and Training for African Americans,12,"school, philadelphia, institute, graduat, teacher, graduate, taught, institute color, department, principal",1913.0,1913.0,"Reminiscences of School Life, and Hints on Teaching (12 chunks)"
44,Citizenship and Voting Rights,12,"citizen, unit state, unit, militia, constitution, massachusett, new york, york, american, congress",1846.0,1855.0,"The Colored Patriots of the American Revolution: With Sketches of S... (11 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (1 chunks)"
43,Whipping and Plantation Punishment,12,"whip, quahama, mene, little brother, gow, suffering, thry, chain, iron, oblig",1810.0,1856.0,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (5 chunks); Slavery Illustrated, in the Histories of Zangara and Maquama, Two N... (4 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (1 chunks)"
49,Agriculture and Natural Resources,11,"tree, resemble, fruit, indian, size, native, narrator, animal, abundance, produce",1810.0,1902.0,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named... (6 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (2 chunks); Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (2 chunks)"
50,Traveling and Isolation,11,"village, chorus, white man, peter, blanket, milk, tree, wind, journey, hut",1826.0,1916.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks); Slavery Illustrated, in the Histories of Zangara and Maquama, Two N... (2 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (1 chunks)"
51,Christian Missionary Work in Africa,11,"leone, sierra leone, sierra, christian, england, th, naimbanna, commend, voyage, dollar",1826.0,1891.0,Biographical Sketches and Interesting Anecdotes of Persons of Colou... (3 chunks); Narratives of Colored Americans (3 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (2 chunks)
52,Astronomical Achievements and Calculations,10,"banneker, almanac, calculation, jefferson, astronomy, ellicott, pennington, letter, mr jefferson, sella",1826.0,1863.0,"The Black Man: His Antecedents, His Genius, and His Achievements (6 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (3 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (1 chunks)"
53,Life Stories of Former Slaves,10,"story, born, born slave, ellen, ellen craft, parker, virginia, craft, book, birth",1826.0,1902.0,The Story of a Slave. A Realistic Revelation of a Social Relation o... (2 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (1 chunks); Life of Isaac Mason as a Slave (1 chunks)
54,The Slave Mother's Emotional Struggle and Separation from Children,10,"mrs, frank, cox, sister, susanna, mrs cox, ned, girl, marry, nancy",1846.0,1895.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (3 chunks); From the Darkness Cometh the Light or Struggles for Freedom (2 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (2 chunks)"
55,Murder Investigation and Trial,10,"brown, witness, prisoner, madison, conversation, mcdowell, weaver, kil, shop, street",1841.0,1841.0,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (10 chunks)"
56,Abandoned or Ruined Buildings,10,"ruin, abbey, poet, beautiful, wall, stone, abbotsford, shell, monk, melrose",1855.0,1855.0,The American Fugitive in Europe. Sketches of Places and People Abroad (10 chunks)
57,The Richmond Theatre Fire,10,"theatre, save, window, destroy, flame, st michael, michael, gilbert, crime, wall",1841.0,1929.0,"Gilbert Hunt, the City Blacksmith (4 chunks); Old Plantation Days (2 chunks); Trials and Confessions of Madison Henderson, Alias Blanchard, Alfre... (2 chunks)"
58,Escape from Slavery,10,"boat, mistress, nat, step right, howard, soon came, bid, freedom, resid, travel",1826.0,1875.0,"Narrative of William Hayden, Containing a Faithful Account of His T... (4 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks); Narratives of Colored Americans (1 chunks)"
59,Family Separation and Financial Transactions,10,"doctor, betsey, purchase, dollar, new orlean, kentucky, orlean, fanny, sister, neworlean",1826.0,1893.0,"Biographical Sketches and Interesting Anecdotes of Persons of Colou... (2 chunks); Narratives of Colored Americans (2 chunks); Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a ... (2 chunks)"
