topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
32,Racial Equality and Human Rights,54,"animal, specy, colour, european, race, human, intellectual, africa, moral, climate",1789.0,1898.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (42 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (4 chunks); The Life, Labors, and Travels of Elder Charles Bowles, of the Free ... (2 chunks)"
33,The Value of Hardship and Opportunity,54,"covey, peter, marse, venture, quamino, letter, lee, jarm, marse robert, cincinnati",1798.0,1918.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (5 chunks); Biographical Sketches and Interesting Anecdotes of Persons of Colou... (4 chunks); The Fugitive Blacksmith; or, Events in the History of James W. C. P... (3 chunks)"
34,Traveling and Navigation in the Wilderness,53,"road, wood, travel, corn, tree, river, husk, cros, weather, northstar",1837.0,1914.0,"Fifty Years in Chains, or, The Life of an American Slave (18 chunks); Slavery in the United States: A Narrative of the Life and Adventure... (18 chunks); The Fugitive Blacksmith; or, Events in the History of James W. C. P... (3 chunks)"
35,Harriet Tubman's Life and Work,53,"sojourner, sojourner truth, harriet, truth, tubman, harriet tubman, battle creek, washington, gen, book life",1869.0,1926.0,"Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (32 chunks); Harriet, the Moses of Her People (6 chunks); Scenes in the Life of Harriet Tubman (6 chunks)"
36,Slave Auctions and Sales,51,"dollar, hundr dollar, friedman, peter, sum, cent, paid, bid, osten, sale",1770.0,1916.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (7 chunks); Life and History of William O'Neal, or, The Man Who Sold His Wife (3 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (3 chunks)"
37,Education and Women's Empowerment,49,"teacher, club, mrs, school, baldwin, women, miss baldwin, miss, color woman, association",1826.0,1926.0,Homespun Heroines and Other Women of Distinction (29 chunks); A Narrative of the Negro (2 chunks); An Autobiography: The Story of My Life and Work (2 chunks)
38,Cosmology and Divine Sovereignty,49,"heaven, ages, earth, eternal, empire, hell, universal, throne, christ, seas",1811.0,1913.0,"Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holse... (44 chunks); The Life, History, and Unparalleled Sufferings of John Jea, the Afr... (3 chunks); From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (1 chunks)"
42,Separation from Family,48,"ben, ped, wife child, start, neddy, cincinnati, yes, sam, escape, josiah",1836.0,1913.0,"Narrative of the Life and Adventures of Henry Bibb, an American Sla... (4 chunks); An Autobiography. Bond and Free: Or, Yearnings for Freedom, from My... (3 chunks); A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (2 chunks)"
43,Christian Faith and Personal Redemption,48,"pray, lord, prayer, saviour, jesus, aged, christian, bayley, faith, dear",1811.0,1980.0,"Biographical Sketches and Interesting Anecdotes of Persons of Colou... (7 chunks); Sketches of the History, Character, and Dying Testimony, of Benefic... (6 chunks); Memoir of Mrs. Chloe Spear, a Native of Africa, Who was Enslaved in... (5 chunks)"
40,Life at Sea as a Slave,48,"captain, ship, board, vessel, montserrat, sail, voyage, mate, steward, island",1770.0,1902.0,"The Interesting Narrative of the Life of Olaudah Equiano, or Gustav... (18 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (6 chunks); A Narrative of the Most Remarkable Particulars in the Life of James... (2 chunks)"
41,Racial Segregation on Public Transportation,48,"car, passenger, conductor, cars, railroad, train, pullman, porter, ride, seat",1848.0,1917.0,"Life and Adventures of Nat Love, Better Known in the Cattle Country... (6 chunks); Frederick Douglass The Colored Orator (4 chunks); Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipat... (4 chunks)"
39,Education and Personal Development,48,"school, student, teacher, hampton, tuskegee, washington, teach, graduat, college, university",1848.0,1929.0,"Men of Mark: Eminent, Progressive and Rising (14 chunks); Up from Slavery: An Autobiography (7 chunks); Booker T. Washington, Builder of a Civilization (6 chunks)"
44,Leadership and Public Service,47,"langston, republican, district, position, president, convention, school, elect, professor, university",1855.0,1916.0,"Men of Mark: Eminent, Progressive and Rising (25 chunks); My Larger Education: Being Chapters from My Experience (4 chunks); A Narrative of the Negro (3 chunks)"
45,European Royal Palaces,47,"palace, paris, statue, tower, wall, room, build, napoleon, monument, louis",1789.0,1917.0,"Three Years in Europe: Or, Places I Have Seen and People I Have Met (20 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (12 chunks); My Life and Work (5 chunks)"
46,Agricultural Labor and Crop Management,47,"farm, crop, bond, mr bond, artichoke, scott, acre, fitzpatrick, potato, mr fitzpatrick",1846.0,1918.0,"From Slavery to Wealth. The Life of Scott Bond. The Rewards of Hone... (21 chunks); Bond and Free: A Tale of the South (4 chunks); Last of the Pioneers: Or, Old Times in East Tenn., Being the Life a... (3 chunks)"
47,Longing for Freedom and Family,46,"joanna, kindness, dr, doctor, waggon, desire, dear, feeling, oh, gone",1782.0,1926.0,"The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (3 chunks); The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of ... (3 chunks); A Narrative of the Adventures and Escape of Moses Roper, from Ameri... (2 chunks)"
48,Relationships with White Women,45,"miss, jane, miss jane, sally, tildy, banton, sister, miss tildy, girl, mrs banton",1795.0,1926.0,"Autobiography of a Female Slave (8 chunks); The Story of a Slave. A Realistic Revelation of a Social Relation o... (4 chunks); Narrative of the Sufferings of Lewis Clarke, During a Captivity of ... (3 chunks)"
49,Horseback Pursuits and Battles,45,"herd, cattle, horse, trail, ranch, indian, range, saddle, buffalo, cow",1810.0,1907.0,"Life and Adventures of Nat Love, Better Known in the Cattle Country... (38 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (3 chunks); Life of Mary F. McCray: Born and Raised a Slave in the State of Ken... (2 chunks)"
50,African American Military Service During the Civil War,45,"regiment, soldier, battle, war, flag, attuck, troop, army, color soldier, fight",1850.0,1918.0,"The Colored Patriots of the American Revolution: With Sketches of S... (10 chunks); A Narrative of the Negro (5 chunks); Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (5 chunks)"
51,Racial Tensions and Social Hierarchy in Colonial Haiti,44,"mulatto, toussaint, rigaud, france, domingo, hayti, island, french, planter, louverture",1848.0,1899.0,"The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comp... (21 chunks); Toussaint L'Ouverture: A Biography and Autobiography (12 chunks); The Black Man: His Antecedents, His Genius, and His Achievements (6 chunks)"
53,Bishop Leadership and Church Governance,43,"bishop, church, baptist, conference, pastor, rev, ordain, general conference, university, elect",1871.0,1928.0,"Men of Mark: Eminent, Progressive and Rising (20 chunks); Autobiography of Bishop Isaac Lane, LL.D. with a Short History of t... (6 chunks); Life of Charles T. Walker, D.D., (""The Black Spurgeon."") Pastor Mt.... (3 chunks)"
52,Whipping and Plantation Punishment,43,"nigger, whip, plantation, anderson, nt, horse, digg, pass, ike, smart nigger",1845.0,1929.0,"A North-Side View of Slavery. The Refugee: or the Narratives of Fug... (6 chunks); The Experience of a Slave in South Carolina (4 chunks); Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of Ne... (3 chunks)"
54,Life at Sea,42,"captain, mate, ship, sea, vessel, sail, deck, whale, boat, crew",1789.0,1902.0,"Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, a... (8 chunks); The Interesting Narrative of the Life of Olaudah Equiano, or Gustav... (7 chunks); The Life of John Thompson, a Fugitive Slave; Containing His History... (7 chunks)"
55,African Chiefs and European Recognition,42,"king, whydah, dahoman, ahadee, agaow, trudo, kingdom, mahee, fort, popo",1782.0,1897.0,"Memoirs of the Reign of Bossa Ahadee, King of Dahomy, an Inland Cou... (18 chunks); The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Chur... (4 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (3 chunks)"
56,Confronting Slavery and Abolitionism,40,"douglass, antislavery, audience, cunningham, hall, send money, free church, church, convention, abolitionist",1827.0,1906.0,"Frederick Douglass The Colored Orator (10 chunks); Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (6 chunks); Frederick Douglass (2 chunks)"
57,Whipping and Plantation Punishment,40,"reuben, poor reuben, di, overseer, hes gone, reuben gone, esther, whip, cruelty, coonrood",1789.0,1901.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (9 chunks); Horrors of the Virginian Slave Trade and of the Slave-Rearing Plant... (2 chunks); Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (2 chunks)"
58,Economic Opportunities and Contributions,39,"industrial, race, league, mechanic, progress, effort, exhibition, institution, nationality, tuskegee",1789.0,1917.0,"An Autobiography: The Story of My Life and Work (9 chunks); Booker T. Washington, Builder of a Civilization (5 chunks); Up from Slavery: An Autobiography (3 chunks)"
59,Abolitionist Speeches and Public Lectures,39,"antislavery, douglass, paper, garrison, mr brown, brown, speech, abolitionist, fugitive, convention",1845.0,1914.0,"Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (6 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (5 chunks); Frederick Douglass (4 chunks)"
60,Whipping and Plantation Punishment,38,"whip, mistress, beat, epps, miss, harriet, sister, jane, em, tildy",1831.0,1892.0,"Autobiography of a Female Slave (3 chunks); The Life of John Thompson, a Fugitive Slave; Containing His History... (3 chunks); Narrative of James Curry, A Fugitive Slave (2 chunks)"
61,Escape and Fugitive Slave Experience,38,"ruggle, fugitive, mr ruggle, york, canada, cato, new york, escape, douglass, boat",1831.0,1926.0,"Uncle Tom's Companions: Or, Facts Stranger Than Fiction. A Suppleme... (4 chunks); Biography of an American Bondman, by His Daughter (3 chunks); Frederick Douglass (3 chunks)"
62,Struggling with Financial Independence,37,"master hugh, hugh, escape, end week, sailor, master thoma, hir time, ticket, wage, baltimore",1831.0,1906.0,"Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (5 chunks); Frederick Douglass (4 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (4 chunks)"
63,Eloquence and Public Speaking,37,"douglass, disraeli, speaker, orator, speeche, eloquence, remond, speech, public, webster",1847.0,1914.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (5 chunks); Men of Mark: Eminent, Progressive and Rising (5 chunks); The American Fugitive in Europe. Sketches of Places and People Abroad (5 chunks)"
64,Life as a Runaway Slave,36,"job, caboceiro, annamaboe, tho, shew, coast, negroe, guinea, company, stole",1734.0,1797.0,"The Royal African: or, Memoirs of the Young Prince of Annamaboe. Co... (21 chunks); Some Memoirs of the Life of Job, the Son of Solomon, the High Pries... (10 chunks); The Life, and Dying Speech of Arthur, a Negro Man; Who Was Executed... (4 chunks)"
65,Military Service and Racial Integration,35,"regiment, chaplain, soldier, army, officer, troop, recruit, allensworth, color soldier, fort",1854.0,1914.0,"Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (10 chunks); The Colored Patriots of the American Revolution: With Sketches of S... (7 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (3 chunks)"
66,The American Civil War and Its Aftermath,34,"union, war, lincoln, north, rebellion, territory, proclamation, mr lincoln, peace, measure",1853.0,1914.0,"Life and Times of Frederick Douglass, Written by Himself. His Early... (12 chunks); Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (9 chunks); Frederick Douglass The Colored Orator (4 chunks)"
67,The Role of Faith and Religion in Human Development,33,"religion, universe, mental, nature, faculty, moral, force, element, civilization, faith",1848.0,1916.0,"Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holse... (28 chunks); The Life of Rev. John Jasper, Pastor of Sixth Mt. Zion Baptist Chur... (2 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (1 chunks)"
68,The Importance of Knowledge and Virtue,33,"wisdom, knowledge, truth, blind, moral, school, virtue, earth, does, vast",1848.0,1922.0,"Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutena... (4 chunks); A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (2 chunks); Echoes from a Pioneer Life (2 chunks)"
69,Separation from Family,33,"aunt, evelyn, chile, sally, tear, grief, archer, aunt sally, thar, oh",1810.0,1929.0,"Autobiography of a Female Slave (4 chunks); The Kidnapped and the Ransomed. Recollections of Peter Still and Hi... (4 chunks); Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Sl... (2 chunks)"
70,Violence and Threats from Slave Owners,33,"brown, john brown, harper ferry, harper, mountain, ferry, captain brown, douglass, plan, john",1836.0,1929.0,"Life and Times of Frederick Douglass, Written by Himself. His Early... (9 chunks); Life and Times of Frederick Douglass: His Early Life as a Slave, Hi... (6 chunks); Frederick Douglass (5 chunks)"
71,Escape by Water,33,"boat, river, captain, board, sailor, steamboat, shalt, amos, thou shalt, vessel",1810.0,1895.0,"A Narrative of the Adventures and Escape of Moses Roper, from Ameri... (3 chunks); Life of William Grimes, the Runaway Slave, Brought Down to the Pres... (2 chunks); A Brief Miscellaneous Narrative of the More Early Part of the Life ... (1 chunks)"
72,Family Relationships and Kinship,32,"aunt, aunt dice, dice, aunt polly, peterkin, amy, mr peterkin, polly, oh, miss",1837.0,1913.0,"Autobiography of a Female Slave (14 chunks); Aunt Dice: The Story of a Faithful Slave (4 chunks); Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Sl... (3 chunks)"
73,Life in Slavery,32,"freeland, mr freeland, bondage, vow, st michael, henry john, quashi, michael, confid, henry",1826.0,1908.0,"My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life a... (4 chunks); Uncle Tom's Companions: Or, Facts Stranger Than Fiction. A Suppleme... (3 chunks); Incidents in the Life of a Slave Girl. Written by Herself (2 chunks)"
74,Christianity and Redemption,32,"race, soudan, ethiopia, negro race, divine, religion, christian, principle, africa, nation",1789.0,1922.0,"A Tribute for the Negro: Being a Vindication of the Moral, Intellec... (11 chunks); Echoes from a Pioneer Life (6 chunks); Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holse... (3 chunks)"
83,Spirituals and African American Music,31,"sing, jesus, lord, ride, ride jesus, jesus ride, soul, world round, redeem love, redeem",1797.0,1926.0,"The Life of the Rev. Dandridge F. Davis, of the African M. E. Churc... (4 chunks); From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins ... (2 chunks); Narrative of the Life of Henry Box Brown, Written by Himself (2 chunks)"
82,Celebrity and Autobiographical Accounts,31,"walker, biography, book, university, dr, oxford, duma, history, jasper, professor",1847.0,1929.0,"Men of Mark: Eminent, Progressive and Rising (7 chunks); Booker T. Washington, Builder of a Civilization (3 chunks); Life of Charles T. Walker, D.D., (""The Black Spurgeon."") Pastor Mt.... (3 chunks)"
81,Life as a Domestic Slave,31,"mistress, missis, molino, wash, sally, eve, don, mrs wood, kitchen, mayoral",1770.0,1894.0,"Poems by a Slave in the Island of Cuba, Recently Liberated; Transla... (7 chunks); The History of Mary Prince, a West Indian Slave. Related by Herself... (4 chunks); Aunt Sally: or, The Cross the Way of Freedom. A Narrative of the Sl... (2 chunks)"
80,Life on Steamboats,31,"boat, steamboat, passenger, st louis, louis, board, buel, orlean, cabin boys, new orlean",1831.0,1914.0,"Narrative of William W. Brown, an American Slave. Written by Himself (4 chunks); Narrative of William W. Brown, a Fugitive Slave. Written by Himself (3 chunks); Uncle Tom's Companions: Or, Facts Stranger Than Fiction. A Suppleme... (3 chunks)"
79,Whipping and Plantation Punishment,31,"runaway, dogs, clarkson, mr clarkson, hunter, isom, mr black, runaway slave, hunt, overseer",1836.0,1902.0,My Life in the South (7 chunks); Fifty Years of Slavery in the United States of America (4 chunks); American Slavery As It Is: Testimony of a Thousand Witnesses (3 chunks)
78,Fishing and River Labor,31,"fish, fishery, seine, shad, cotton, river, fishmaster, plough, pine, cabin",1789.0,1926.0,"Slavery in the United States: A Narrative of the Life and Adventure... (10 chunks); Fifty Years in Chains, or, The Life of an American Slave (9 chunks); A Sketch of the Life of Okah Tubbee, (Called) William Chubbee, Son ... (3 chunks)"
76,Fairness of Treatment in the Pension Office,31,"matthew, senate, president, jame matthew, district, mr chase, district columbia, office, nomination, recorder",1856.0,1916.0,"Men of Mark: Eminent, Progressive and Rising (17 chunks); Life and Times of Frederick Douglass, Written by Himself. His Early... (3 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (3 chunks)"
75,Agricultural Labor and Crop Management,31,"plant, crop, soil, seed, meat, fertilizer, peas, tomato, worm, variety",1837.0,1929.0,From Captivity to Fame or The Life of George Washington Carver (19 chunks); Slavery in the United States: A Narrative of the Life and Adventure... (3 chunks); An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda... (2 chunks)
